ABHD12,AGR2,AR-1,AR-2,CBLN2,COL6A3-1,COL6A3-2,COL6A3-3,EIF2B5-1,EIF2B5-2,GFM1,KLK3_1,MAD1L1-1,MAD1L1-2,MAD1L1-3,MAD1L1-4,MAD1L1-5,MAD1L1-6,MAD1L1-7,MAD1L1-8,MAD1L1-9,MAD1L1-10,MAD1L1-11,NAALADL2-1,NAALADL2-2,NAALADL2-3,NAALADL2-4,NAALADL2-5,NAALADL2-6,NAALADL2-7,NAALADL2-8,NAALADL2-9,NAALADL2-10,NAALADL2-11,NAALADL2-12,NAALADL2-13,NAALADL2-14,NAALADL2-15,NAALADL2-16,NAALADL2-17,NAALADL2-18,NAALADL2-19,NAALADL2-20,NAALADL2-21,NAALADL2-22,NDUFB11,NT5DC1-1,NT5DC1-2,SEC61A1-1,SEC61A1-2,SLC25A36,SLC26A2,STIL-1,STIL-2,STIL-3,TMPRSS2,TSPAN13-1,TSPAN13-2,B_Ca,Loc_Met
542.027466,198.614075,408.356811,317.558533,24.716095,381.779022,416.415741,279.010284,341.361176,63.437874,36.082073,465.986725,295.446014,169.113724,264.643646,138.055267,169.514969,47.724049,47.177078,5925.427246,183.243607,123.862106,38.861778,55.776081,168.926498,222.933212,249.914123,230.523361,2575.317627,365.035797,284.499023,344.182953,104.721542,681.124756,67.401833,138.117203,61.440025,1657.663818,584.1745,288.134033,127.382088,171.062103,951.664368,344.566315,81.40271,192.809998,191.665985,83.663849,251.00415,305.866882,216.400177,491.002716,110.852745,43.383713,68.570724,160.007828,439.445526,39.20668,Ca,Loc
467.100403,214.397201,421.690643,331.06665,32.462822,467.283142,165.809708,379.142304,362.665741,62.295235,32.983318,408.492828,424.872803,147.820084,301.606903,157.513916,205.972305,52.08585,53.604675,5893.09082,257.670959,109.893387,54.299149,72.634048,117.895813,221.335114,213.722168,475.987915,2861.502197,460.608704,291.864166,361.144806,153.669373,707.356201,69.771385,104.547302,65.720299,1343.839844,227.293014,299.850555,168.07431,238.703461,929.648132,299.72641,78.998436,197.684692,204.876984,80.375412,292.118835,328.099335,184.999237,414.604218,113.669777,59.996441,123.139084,135.357956,539.462463,32.891933,Ca,Loc
676.047913,274.404663,269.782562,276.90564,27.949617,697.482117,212.64154,327.673859,284.71814,63.3629,52.360386,506.04541,287.064087,192.313965,277.647797,198.143082,144.659027,63.994656,58.645599,5764.515137,177.074097,175.293533,42.749702,80.331779,112.054215,162.63269,325.089722,397.337219,2519.393066,344.806091,288.690979,180.506699,178.516266,858.568359,93.909142,204.338287,85.16613,1436.395264,331.645904,199.134766,198.155441,180.718323,693.022583,239.587891,113.67926,204.508865,233.038284,78.741676,308.576813,392.625549,281.426453,344.624329,151.350525,58.571278,82.744301,201.506393,259.022797,37.744442,Ca,Loc
395.853027,203.353836,287.767914,385.650818,26.39002,355.586029,344.902832,281.845917,280.002075,55.851929,39.440197,383.622406,279.160492,151.692856,277.746948,159.18483,166.635147,43.21875,39.73679,6512.610352,208.034683,148.015839,35.461765,59.246948,79.043503,167.28096,223.532425,367.045471,2635.541504,401.071045,356.829926,424.151611,84.195099,639.126404,85.958023,127.17067,56.926247,1297.990234,238.249329,549.530701,114.432999,281.949554,1042.284546,333.664093,79.125351,191.973663,174.065597,99.077133,240.829132,291.710449,238.191345,470.770264,98.447273,43.364132,77.21418,141.936356,592.610168,35.853912,Ca,Loc
487.230042,189.921753,622.236877,301.582581,27.85038,456.210419,233.849396,259.608856,322.360779,69.135208,39.432358,568.726868,327.371368,169.074692,290.367828,147.135315,160.681686,50.177673,37.363865,5743.333008,215.934174,184.01355,37.868538,70.171974,92.844765,156.508545,245.007965,279.184296,2433.309082,403.466461,288.806335,317.067383,107.991264,707.20282,69.024986,112.796036,53.011848,1283.109375,296.017151,281.237335,110.604118,234.79335,695.904846,324.445526,57.670406,146.466248,162.742172,84.684975,262.192352,299.660309,248.253052,489.093994,111.379669,50.034771,92.630707,164.132172,714.16925,36.962219,Ca,Loc
511.910523,266.438599,617.752258,316.112091,32.325203,594.908691,193.395767,323.428436,302.038574,61.956898,42.740398,315.779236,431.183685,138.225143,263.710358,120.09198,187.103302,53.806778,57.990551,5652.100586,205.929779,147.915176,39.740341,68.038864,126.68203,194.840744,308.666565,424.901581,2546.914551,429.117493,187.337341,291.628265,161.281662,802.315735,80.317398,132.593918,91.115738,1267.467041,329.159576,334.327301,155.816986,203.521622,798.905334,237.055222,110.374603,213.962891,206.923248,57.803555,292.517456,369.53656,210.4543,286.57486,131.865418,57.296856,79.467941,168.334518,639.392883,32.494202,Ca,Loc
425.008972,167.939392,574.920288,371.21106,28.279312,402.332489,259.419128,193.423721,250.155045,74.130127,43.024063,371.859375,325.532379,150.730011,257.158752,211.898071,193.388733,40.958172,38.437561,6401.128906,234.137741,151.112228,33.449192,57.17382,108.672691,190.419098,200.626053,261.442322,2596.736816,399.915008,304.877625,366.915894,78.054276,561.803894,52.046616,129.912735,55.396641,1336.802979,209.160339,302.991913,115.66111,236.185791,908.038574,285.074432,75.419846,145.885803,166.573456,126.941597,244.009918,264.123657,240.632584,659.633179,94.400383,41.543987,74.824821,126.461433,624.021362,42.242149,Ca,Loc
436.754028,141.588943,357.239136,301.996521,22.639225,575.512329,166.651794,227.821686,291.787048,54.257885,32.373268,407.690887,306.445557,126.030426,255.523498,191.994888,176.193832,39.132217,35.241421,6077.418945,187.227951,78.264885,34.425983,47.259174,298.480469,254.564941,179.984436,430.617218,2579.784668,346.245758,391.518738,331.298614,80.533791,568.219666,40.78249,111.373184,47.320026,1334.618042,196.515884,176.585632,86.000328,213.501236,1017.293579,288.830933,70.384705,163.101852,138.602188,103.485001,216.417343,253.340134,204.010941,490.756348,86.567749,35.19418,62.513535,114.881592,529.946228,32.558224,Ca,Loc
540.653748,251.926102,405.849823,273.425446,28.009502,688.196045,185.590179,321.03128,255.348434,56.991779,41.233505,415.43219,247.853378,159.554993,323.507507,166.088303,141.321014,55.090965,64.092682,5478.226074,354.979462,215.73822,48.572845,69.606567,133.82309,206.80899,288.640472,313.470276,2601.619141,316.080719,256.767181,166.0793,177.734863,755.186279,66.622025,171.296661,89.385399,1436.902466,378.099304,218.257095,173.397751,209.359009,671.293213,281.248291,103.799744,198.267624,235.122818,111.478981,289.211273,334.46936,257.427307,416.426514,142.324173,51.129509,108.250503,176.368546,298.101807,33.197968,Ca,Loc
475.741425,186.304535,498.540527,281.689545,28.990316,475.631317,193.918961,277.573425,330.439697,57.069416,39.667755,494.412079,447.525757,162.444321,325.363007,156.410538,174.205338,48.196632,50.788361,5877.748047,191.423645,163.894989,38.872337,67.687683,115.822258,162.429092,251.477051,450.429962,2312.880615,440.87677,273.813202,257.93869,106.451797,721.587097,79.67231,129.708267,72.581566,1228.200928,329.242676,254.515228,129.840256,232.783905,614.827332,289.300842,55.517509,171.14296,172.698013,78.04097,262.469177,326.021515,252.731842,425.664825,102.851822,47.303497,70.310577,157.238464,776.072388,30.485794,Ca,Loc
483.88504,208.186859,441.977844,316.569336,24.576902,587.625671,264.936371,305.277557,333.27301,63.010025,34.388634,422.163788,376.445648,145.589157,316.761597,156.701614,169.112808,51.018837,49.326729,5779.408691,278.473602,199.520309,44.498657,64.68589,111.275345,173.520706,255.627151,373.268677,2643.266113,369.858856,272.732819,345.316925,146.508179,654.293152,63.714996,127.315483,66.235764,1272.700317,341.299835,382.565582,155.171478,244.235733,791.848389,296.616943,83.614624,230.902359,192.040634,80.505661,265.643799,334.101074,246.504013,354.628265,127.462532,52.725273,96.696381,163.144928,750.023132,35.061634,Ca,Loc
487.083191,174.53862,637.500427,323.855286,25.795847,537.178162,205.623825,244.383072,269.894104,57.040184,36.954636,452.212341,470.760651,160.188415,308.625519,190.112656,213.735794,43.39077,41.782967,5737.121094,223.817474,109.676712,35.121235,55.426674,138.816879,188.063873,246.651108,347.649841,2725.994629,424.813599,342.686249,308.582398,98.31073,656.883667,44.971287,108.097786,60.073009,1151.698364,233.240921,252.446426,122.810509,209.758667,748.351074,288.874908,76.196983,167.955872,156.719025,80.018776,280.827393,300.022125,240.486771,487.536591,103.498276,42.43998,78.591187,136.689392,786.253784,33.473888,Ca,Loc
